period,value,value-units
2021-03-17,262735,megawatthours
2021-03-16,256735,megawatthours
2021-03-15,259289,megawatthours
2021-03-14,228499,megawatthours
2021-03-13,231233,megawatthours
2021-03-12,246616,megawatthours
2021-03-11,256796,megawatthours
2021-03-10,272601,megawatthours
2021-03-09,268162,megawatthours
2021-03-08,256343,megawatthours
2021-03-07,221288,megawatthours
2021-03-06,229298,megawatthours
2021-03-05,248391,megawatthours
2021-03-04,250863,megawatthours
2021-03-03,255855,megawatthours
2021-03-02,249627,megawatthours
2021-03-01,245380,megawatthours
2021-02-28,224089,megawatthours
2021-02-27,229714,megawatthours
2021-02-26,247179,megawatthours
2021-02-25,247569,megawatthours
2021-02-24,247059,megawatthours
2021-02-23,246367,megawatthours
2021-02-22,246117,megawatthours
2021-02-21,231324,megawatthours
2021-02-20,240301,megawatthours
2021-02-19,254798,megawatthours
2021-02-18,255828,megawatthours
2021-02-17,253268,megawatthours
2021-02-16,253233,megawatthours
2021-02-15,250621,megawatthours
2021-02-14,235101,megawatthours
2021-02-13,230258,megawatthours
2021-02-12,241969,megawatthours
2021-02-11,262796,megawatthours
2021-02-10,244853,megawatthours
2021-02-09,253304,megawatthours
2021-02-08,249811,megawatthours
2021-02-07,224591,megawatthours
2021-02-06,230891,megawatthours
2021-02-05,248221,megawatthours
2021-02-04,256849,megawatthours
2021-02-03,257893,megawatthours
2021-02-02,251699,megawatthours
2021-02-01,244878,megawatthours
2021-01-31,230176,megawatthours
2021-01-30,240562,megawatthours
2021-01-29,257490,megawatthours
2021-01-28,270991,megawatthours
2021-01-27,273105,megawatthours
2021-01-26,278918,megawatthours
2021-01-25,265297,megawatthours
2021-01-24,252530,megawatthours
2021-01-23,239017,megawatthours
2021-01-22,261511,megawatthours
2021-01-21,254252,megawatthours
2021-01-20,247648,megawatthours
2021-01-19,241009,megawatthours
2021-01-18,238400,megawatthours
2021-01-17,222859,megawatthours
2021-01-16,229647,megawatthours
2021-01-15,247634,megawatthours
2021-01-14,248309,megawatthours
2021-01-13,250707,megawatthours
2021-01-12,265658,megawatthours
2021-01-11,255619,megawatthours
2021-01-10,239516,megawatthours
2021-01-09,242940,megawatthours
2021-01-08,259832,megawatthours
2021-01-07,261602,megawatthours
